,CustomerID,Gender,Age,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
0,CUST_0001,Male,71,69,Yes,Fiber optic,Month-to-month,45.08,3110.52,No
1,CUST_0002,Female,80,71,No,DSL,Month-to-month,80.37,5706.27,Yes
2,CUST_0003,Male,34,24,No,None,One year,87.21,2093.04,No
3,CUST_0004,Male,26,11,Yes,None,One year,50.39,554.29,No
4,CUST_0005,Male,50,14,Yes,DSL,Month-to-month,104.51,1463.14,Yes
5,CUST_0006,Female,70,58,Yes,None,One year,114.61,6647.38,No
6,CUST_0007,Male,37,25,No,DSL,Month-to-month,108.26,2706.5,No
7,CUST_0008,Male,30,25,Yes,Fiber optic,One year,93.38,2334.5,No
8,CUST_0009,Male,45,46,No,DSL,One year,46.3,2129.7999999999997,No
9,CUST_0010,Female,65,31,Yes,Fiber optic,One year,46.72,1448.32,No
10,CUST_0011,Male,46,9,Yes,None,Month-to-month,116.26,1046.3400000000001,No
11,CUST_0012,Male,30,15,Yes,Fiber optic,One year,19.05,285.75,No
12,CUST_0013,Male,63,70,Yes,None,Month-to-month,91.04,6372.8,Yes
13,CUST_0014,Male,52,16,No,DSL,Month-to-month,90.04,1440.64,Yes
14,CUST_0015,Female,78,22,No,None,One year,81.51,1793.22,No
15,CUST_0016,Male,23,25,Yes,DSL,One year,118.99,2974.75,No
16,CUST_0017,Female,35,6,No,DSL,Month-to-month,49.81,298.86,No
17,CUST_0018,Female,68,13,Yes,Fiber optic,Month-to-month,52.68,684.84,Yes
18,CUST_0019,Female,22,6,Yes,Fiber optic,Two years,26.05,156.3,No
19,CUST_0020,Male,64,8,Yes,Fiber optic,Month-to-month,63.17,505.36,No
20,CUST_0021,Female,42,47,Yes,Fiber optic,Two years,44.63,2097.61,No
21,CUST_0022,Male,19,71,No,None,Two years,53.03,3765.13,No
22,CUST_0023,Female,27,58,Yes,None,Two years,103.13,5981.54,No
23,CUST_0024,Female,73,38,Yes,None,One year,113.42,4309.96,No
24,CUST_0025,Female,47,17,No,DSL,One year,36.94,627.98,No
25,CUST_0026,Female,67,58,Yes,None,Month-to-month,56.0,3248.0,No
26,CUST_0027,Female,76,16,Yes,None,Two years,112.72,1803.52,No
27,CUST_0028,Female,62,13,Yes,None,One year,24.3,315.90000000000003,No
28,CUST_0029,Female,22,30,No,Fiber optic,One year,27.42,822.6,No
29,CUST_0030,Female,72,23,Yes,None,One year,34.6,795.8000000000001,No
30,CUST_0031,Male,73,59,No,DSL,One year,78.71,4643.889999999999,No
31,CUST_0032,Male,50,44,Yes,Fiber optic,One year,33.35,1467.4,No
32,CUST_0033,Female,71,2,Yes,DSL,Two years,116.74,233.48,No
33,CUST_0034,Female,18,36,No,None,Two years,63.56,2288.16,No
34,CUST_0035,Female,35,42,Yes,Fiber optic,Two years,69.15,2904.3,No
35,CUST_0036,Male,49,39,Yes,DSL,Two years,43.16,1683.2399999999998,No
36,CUST_0037,Female,64,54,No,None,Month-to-month,66.04,3566.1600000000003,Yes
37,CUST_0038,Male,66,38,No,DSL,Two years,85.52,3249.7599999999998,No
38,CUST_0039,Male,28,14,No,DSL,One year,94.62,1324.68,No
39,CUST_0040,Male,38,3,No,DSL,Two years,94.89,284.67,No
40,CUST_0041,Male,43,24,No,None,Month-to-month,76.94,1846.56,Yes
41,CUST_0042,Male,80,12,Yes,None,One year,110.24,1322.8799999999999,No
42,CUST_0043,Female,42,32,No,DSL,Two years,101.38,3244.16,No
43,CUST_0044,Female,39,15,Yes,Fiber optic,Two years,95.22,1428.3,No
44,CUST_0045,Female,76,41,Yes,Fiber optic,Two years,23.67,970.47,No
45,CUST_0046,Female,44,65,Yes,None,One year,18.7,1215.5,No
46,CUST_0047,Female,66,54,No,None,One year,39.67,2142.1800000000003,No
47,CUST_0048,Male,30,41,No,None,Month-to-month,85.68,3512.88,Yes
48,CUST_0049,Female,50,33,Yes,None,One year,59.94,1978.02,No
49,CUST_0050,Female,51,29,No,None,One year,59.05,1712.4499999999998,No
50,CUST_0051,Male,58,12,No,Fiber optic,Two years,108.23,1298.76,No
51,CUST_0052,Female,52,12,No,None,One year,109.35,1312.1999999999998,No
52,CUST_0053,Male,80,17,No,DSL,Two years,110.74,1882.58,No
53,CUST_0054,Female,18,31,Yes,DSL,Two years,50.02,1550.6200000000001,No
54,CUST_0055,Male,38,38,Yes,Fiber optic,One year,88.49,3362.62,No
55,CUST_0056,Female,65,45,No,DSL,Month-to-month,45.71,2056.95,No
56,CUST_0057,Female,72,28,Yes,Fiber optic,Month-to-month,37.44,1048.32,No
57,CUST_0058,Male,23,61,No,Fiber optic,One year,36.83,2246.63,No
58,CUST_0059,Male,45,61,No,DSL,Month-to-month,52.89,3226.29,Yes
59,CUST_0060,Male,34,56,Yes,None,Two years,61.86,3464.16,No
60,CUST_0061,Male,22,15,Yes,DSL,Two years,102.76,1541.4,No
61,CUST_0062,Male,48,55,Yes,DSL,One year,30.23,1662.65,No
62,CUST_0063,Male,22,9,No,Fiber optic,Month-to-month,92.96,836.64,No
63,CUST_0064,Male,55,29,Yes,DSL,Month-to-month,72.21,2094.0899999999997,No
64,CUST_0065,Male,20,24,No,Fiber optic,Two years,47.37,1136.8799999999999,No
65,CUST_0066,Female,70,4,Yes,None,One year,68.27,273.08,No
66,CUST_0067,Female,40,64,Yes,None,Month-to-month,48.59,3109.76,Yes
67,CUST_0068,Male,54,48,No,None,One year,78.8,3782.3999999999996,No
68,CUST_0069,Female,70,2,No,DSL,Month-to-month,62.25,124.5,No
69,CUST_0070,Female,54,44,No,Fiber optic,Two years,34.77,1529.88,No
70,CUST_0071,Female,27,13,No,None,Two years,29.89,388.57,No
71,CUST_0072,Female,27,29,No,Fiber optic,One year,73.76,2139.04,No
72,CUST_0073,Male,36,67,No,Fiber optic,Two years,110.05,7373.349999999999,No
73,CUST_0074,Female,34,17,No,None,Month-to-month,53.08,902.36,Yes
74,CUST_0075,Male,38,61,No,None,Two years,92.77,5658.969999999999,No
75,CUST_0076,Female,31,36,Yes,Fiber optic,One year,85.18,3066.4800000000005,No
76,CUST_0077,Female,26,24,No,None,One year,113.02,2712.48,No
77,CUST_0078,Female,63,47,No,Fiber optic,One year,101.74,4781.78,No
78,CUST_0079,Male,18,64,Yes,Fiber optic,Month-to-month,75.79,4850.56,Yes
79,CUST_0080,Female,68,52,No,None,Month-to-month,85.02,4421.04,Yes
80,CUST_0081,Male,62,72,Yes,DSL,Month-to-month,109.64,7894.08,Yes
81,CUST_0082,Female,30,14,Yes,None,Month-to-month,58.75,822.5,Yes
82,CUST_0083,Male,21,48,No,DSL,Month-to-month,51.33,2463.84,Yes
83,CUST_0084,Female,79,67,Yes,Fiber optic,Two years,19.1,1279.7,No
84,CUST_0085,Male,18,11,No,Fiber optic,Month-to-month,102.31,1125.41,No
85,CUST_0086,Male,66,58,Yes,DSL,Month-to-month,99.7,5782.6,No
86,CUST_0087,Female,57,36,Yes,Fiber optic,Two years,28.65,1031.3999999999999,No
87,CUST_0088,Male,49,60,Yes,DSL,Month-to-month,76.84,4610.400000000001,No
88,CUST_0089,Female,51,42,No,DSL,One year,65.33,2743.86,No
89,CUST_0090,Female,45,69,No,Fiber optic,Month-to-month,30.11,2077.59,Yes
90,CUST_0091,Female,48,38,Yes,DSL,Month-to-month,118.02,4484.76,Yes
91,CUST_0092,Female,25,55,Yes,None,One year,39.9,2194.5,No
92,CUST_0093,Female,56,62,No,None,One year,24.86,1541.32,No
93,CUST_0094,Female,43,45,No,Fiber optic,One year,78.67,3540.15,No
94,CUST_0095,Female,75,10,Yes,Fiber optic,One year,93.36,933.6,No
95,CUST_0096,Female,51,61,Yes,DSL,Month-to-month,21.31,1299.9099999999999,Yes
96,CUST_0097,Female,71,24,No,DSL,One year,85.19,2044.56,No
97,CUST_0098,Female,71,70,No,DSL,One year,72.29,5060.3,No
98,CUST_0099,Female,20,51,No,DSL,Two years,28.53,1455.03,No
99,CUST_0100,Male,76,3,No,None,One year,35.6,106.80000000000001,No
100,CUST_0101,Male,67,58,No,None,One year,75.93,4403.9400000000005,No
101,CUST_0102,Female,29,71,Yes,Fiber optic,Two years,48.23,3424.33,No
102,CUST_0103,Female,18,19,No,DSL,Two years,113.71,2160.49,No
103,CUST_0104,Female,71,62,Yes,DSL,Month-to-month,101.51,6293.62,No
104,CUST_0105,Female,61,53,No,Fiber optic,Two years,118.32,6270.96,No
105,CUST_0106,Female,22,56,Yes,DSL,Month-to-month,44.49,2491.44,No
106,CUST_0107,Female,47,40,No,DSL,Two years,116.91,4676.4,No
107,CUST_0108,Female,47,2,No,DSL,Two years,61.99,123.98,No
108,CUST_0109,Female,76,5,Yes,DSL,Month-to-month,53.45,267.25,Yes
109,CUST_0110,Male,74,4,Yes,DSL,Two years,23.14,92.56,No
110,CUST_0111,Female,34,4,No,Fiber optic,Month-to-month,23.38,93.52,Yes
111,CUST_0112,Male,65,53,No,DSL,Two years,88.59,4695.27,No
112,CUST_0113,Female,80,46,No,Fiber optic,One year,64.71,2976.66,No
113,CUST_0114,Female,64,48,No,DSL,Two years,41.11,1973.28,No
114,CUST_0115,Male,40,8,No,None,Month-to-month,80.62,644.96,No
115,CUST_0116,Female,32,19,Yes,None,Two years,43.79,832.01,No
116,CUST_0117,Male,54,60,Yes,None,Month-to-month,76.92,4615.2,Yes
117,CUST_0118,Female,38,34,No,None,Month-to-month,54.64,1857.76,Yes
118,CUST_0119,Female,31,49,Yes,Fiber optic,One year,102.0,4998.0,No
119,CUST_0120,Male,19,61,Yes,Fiber optic,One year,101.71,6204.3099999999995,No
120,CUST_0121,Female,28,16,Yes,DSL,Month-to-month,66.69,1067.04,No
121,CUST_0122,Male,68,2,No,None,Two years,53.78,107.56,No
122,CUST_0123,Female,56,31,Yes,Fiber optic,Month-to-month,54.98,1704.3799999999999,No
123,CUST_0124,Male,55,12,No,DSL,Month-to-month,100.18,1202.16,Yes
124,CUST_0125,Male,77,72,Yes,DSL,Two years,51.47,3705.84,No
125,CUST_0126,Female,51,67,No,Fiber optic,Two years,39.32,2634.44,No
126,CUST_0127,Female,55,13,Yes,None,Two years,26.64,346.32,No
127,CUST_0128,Male,67,10,No,DSL,Two years,65.6,656.0,No
128,CUST_0129,Female,51,55,No,None,Month-to-month,67.18,3694.9000000000005,Yes
129,CUST_0130,Female,35,66,Yes,None,Month-to-month,103.77,6848.82,No
130,CUST_0131,Female,47,28,No,None,One year,40.57,1135.96,No
131,CUST_0132,Male,32,8,No,DSL,Month-to-month,56.86,454.88,Yes
132,CUST_0133,Male,44,66,No,None,Two years,100.46,6630.36,No
133,CUST_0134,Male,68,24,No,DSL,One year,102.01,2448.2400000000002,No
134,CUST_0135,Male,80,41,No,None,Two years,57.23,2346.43,No
135,CUST_0136,Male,51,8,No,DSL,Month-to-month,64.83,518.64,Yes
136,CUST_0137,Male,69,39,No,None,One year,48.94,1908.6599999999999,No
137,CUST_0138,Male,74,24,No,Fiber optic,Two years,113.12,2714.88,No
138,CUST_0139,Male,55,4,Yes,None,One year,30.1,120.4,No
139,CUST_0140,Male,50,10,Yes,None,One year,113.24,1132.3999999999999,No
140,CUST_0141,Female,41,58,No,DSL,Month-to-month,87.75,5089.5,Yes
141,CUST_0142,Male,32,37,No,DSL,Two years,72.22,2672.14,No
142,CUST_0143,Female,77,71,Yes,None,One year,21.33,1514.4299999999998,No
143,CUST_0144,Female,47,4,Yes,Fiber optic,One year,66.51,266.04,No
144,CUST_0145,Female,72,47,Yes,Fiber optic,Two years,59.59,2800.73,No
145,CUST_0146,Male,59,17,No,DSL,One year,34.44,585.48,No
146,CUST_0147,Male,68,69,Yes,Fiber optic,One year,84.95,5861.55,No
147,CUST_0148,Male,34,36,No,None,One year,117.06,4214.16,No
148,CUST_0149,Male,22,59,No,DSL,Two years,75.34,4445.06,No
149,CUST_0150,Female,46,47,Yes,None,Two years,90.9,4272.3,No
150,CUST_0151,Male,21,27,No,DSL,Two years,24.98,674.46,No
151,CUST_0152,Male,27,68,No,DSL,Two years,60.6,4120.8,No
152,CUST_0153,Male,73,39,No,DSL,Month-to-month,29.87,1164.93,Yes
153,CUST_0154,Male,34,44,No,DSL,One year,80.51,3542.44,No
154,CUST_0155,Male,27,61,Yes,Fiber optic,Two years,113.73,6937.530000000001,No
155,CUST_0156,Female,34,57,Yes,None,One year,85.5,4873.5,No
156,CUST_0157,Male,77,66,No,None,One year,25.83,1704.78,No
157,CUST_0158,Female,37,55,No,None,Month-to-month,54.18,2979.9,Yes
158,CUST_0159,Male,41,39,Yes,DSL,Two years,74.17,2892.63,No
159,CUST_0160,Female,22,39,No,Fiber optic,Two years,59.13,2306.07,No
160,CUST_0161,Male,51,32,Yes,None,One year,103.03,3296.96,No
161,CUST_0162,Male,23,5,No,Fiber optic,Two years,101.1,505.5,No
162,CUST_0163,Female,70,18,No,DSL,One year,80.41,1447.3799999999999,No
163,CUST_0164,Female,19,39,Yes,None,One year,56.09,2187.51,No
164,CUST_0165,Female,30,58,Yes,Fiber optic,Month-to-month,44.04,2554.32,No
165,CUST_0166,Male,79,58,Yes,DSL,Month-to-month,28.8,1670.4,Yes
166,CUST_0167,Female,60,47,Yes,Fiber optic,Month-to-month,54.2,2547.4,Yes
167,CUST_0168,Male,60,40,No,None,One year,60.14,2405.6,No
168,CUST_0169,Male,65,12,Yes,None,Two years,86.93,1043.16,No
169,CUST_0170,Female,28,44,No,DSL,Month-to-month,85.13,3745.72,No
170,CUST_0171,Female,68,52,Yes,DSL,Two years,25.15,1307.8,No
171,CUST_0172,Male,64,41,Yes,DSL,Month-to-month,58.32,2391.12,No
172,CUST_0173,Male,74,62,No,Fiber optic,Month-to-month,36.54,2265.48,No
173,CUST_0174,Female,40,26,Yes,Fiber optic,One year,33.99,883.74,No
174,CUST_0175,Female,72,37,Yes,Fiber optic,Month-to-month,102.38,3788.06,No
175,CUST_0176,Female,33,59,Yes,DSL,Month-to-month,22.28,1314.52,Yes
176,CUST_0177,Male,48,6,Yes,None,One year,60.76,364.56,No
177,CUST_0178,Male,28,4,No,None,Two years,35.16,140.64,No
178,CUST_0179,Male,71,44,No,Fiber optic,Month-to-month,107.69,4738.36,No
179,CUST_0180,Male,33,57,Yes,Fiber optic,One year,74.82,4264.74,No
180,CUST_0181,Male,25,30,Yes,None,Month-to-month,41.6,1248.0,Yes
181,CUST_0182,Male,21,22,Yes,None,One year,69.25,1523.5,No
182,CUST_0183,Female,57,41,No,Fiber optic,Two years,92.61,3797.0099999999998,No
183,CUST_0184,Male,21,9,No,Fiber optic,Two years,115.73,1041.57,No
184,CUST_0185,Male,73,31,No,None,One year,40.49,1255.19,No
185,CUST_0186,Male,42,52,No,DSL,One year,108.39,5636.28,No
186,CUST_0187,Female,20,29,Yes,Fiber optic,One year,113.3,3285.7,No
187,CUST_0188,Male,49,38,Yes,None,Two years,111.47,4235.86,No
188,CUST_0189,Male,20,30,Yes,None,Month-to-month,82.81,2484.3,No
189,CUST_0190,Female,44,1,No,None,Two years,82.24,82.24,No
190,CUST_0191,Male,46,11,Yes,None,One year,59.13,650.4300000000001,No
191,CUST_0192,Male,49,38,No,DSL,One year,94.74,3600.12,No
192,CUST_0193,Male,67,65,No,None,Two years,72.19,4692.349999999999,No
193,CUST_0194,Male,78,12,Yes,Fiber optic,One year,87.1,1045.1999999999998,No
194,CUST_0195,Male,75,45,Yes,DSL,Two years,61.7,2776.5,No
195,CUST_0196,Female,68,26,Yes,None,One year,92.61,2407.86,No
196,CUST_0197,Female,36,16,No,DSL,Month-to-month,102.1,1633.6,Yes
197,CUST_0198,Female,38,59,No,Fiber optic,Month-to-month,32.94,1943.4599999999998,No
198,CUST_0199,Male,22,63,Yes,None,One year,102.96,6486.48,No
199,CUST_0200,Male,35,34,Yes,Fiber optic,Two years,73.11,2485.74,No
200,CUST_0201,Male,45,69,No,None,Month-to-month,104.16,7187.04,No
201,CUST_0202,Female,59,29,Yes,None,Two years,61.99,1797.71,No
202,CUST_0203,Male,78,70,No,None,One year,56.66,3966.2,No
203,CUST_0204,Male,39,62,No,None,Two years,111.34,6903.08,No
204,CUST_0205,Female,38,27,Yes,None,Month-to-month,43.62,1177.74,Yes
205,CUST_0206,Male,23,59,Yes,DSL,Two years,104.11,6142.49,No
206,CUST_0207,Female,18,36,Yes,None,Two years,67.37,2425.32,No
207,CUST_0208,Female,22,21,Yes,None,One year,70.44,1479.24,No
208,CUST_0209,Female,58,67,No,DSL,One year,49.46,3313.82,No
209,CUST_0210,Male,29,19,No,DSL,One year,76.45,1452.55,No
210,CUST_0211,Male,43,67,No,DSL,Month-to-month,51.17,3428.3900000000003,No
211,CUST_0212,Male,63,63,Yes,DSL,Month-to-month,22.01,1386.63,No
212,CUST_0213,Male,51,16,No,DSL,One year,45.74,731.84,No
213,CUST_0214,Male,66,11,Yes,DSL,One year,18.65,205.14999999999998,No
214,CUST_0215,Male,31,21,Yes,None,Month-to-month,117.79,2473.59,No
215,CUST_0216,Male,43,16,Yes,None,Month-to-month,116.51,1864.16,Yes
216,CUST_0217,Female,62,9,Yes,Fiber optic,Month-to-month,58.31,524.79,No
217,CUST_0218,Male,44,64,Yes,None,Month-to-month,92.29,5906.56,Yes
218,CUST_0219,Female,26,21,Yes,None,One year,53.27,1118.67,No
219,CUST_0220,Male,43,49,No,DSL,Month-to-month,86.45,4236.05,Yes
220,CUST_0221,Male,74,13,Yes,DSL,One year,100.15,1301.95,No
221,CUST_0222,Male,64,63,No,None,Two years,114.57,7217.91,No
222,CUST_0223,Female,74,46,No,Fiber optic,Two years,58.82,2705.72,No
223,CUST_0224,Female,39,28,Yes,DSL,Month-to-month,97.9,2741.2000000000003,Yes
224,CUST_0225,Female,64,35,Yes,None,Two years,45.12,1579.1999999999998,No
225,CUST_0226,Female,73,51,Yes,None,Two years,119.01,6069.51,No
226,CUST_0227,Male,47,6,No,Fiber optic,Two years,20.63,123.78,No
227,CUST_0228,Female,60,28,Yes,Fiber optic,Month-to-month,79.56,2227.6800000000003,Yes
228,CUST_0229,Male,80,10,No,DSL,Month-to-month,85.27,852.6999999999999,No
229,CUST_0230,Male,65,32,Yes,Fiber optic,Two years,88.18,2821.76,No
230,CUST_0231,Female,78,5,Yes,None,One year,30.28,151.4,No
231,CUST_0232,Female,34,31,No,None,Two years,113.73,3525.63,No
232,CUST_0233,Female,43,50,No,Fiber optic,Month-to-month,36.48,1823.9999999999998,Yes
233,CUST_0234,Female,53,57,Yes,Fiber optic,Month-to-month,81.52,4646.639999999999,No
234,CUST_0235,Female,18,25,No,Fiber optic,Month-to-month,40.71,1017.75,Yes
235,CUST_0236,Female,25,45,No,Fiber optic,Two years,49.34,2220.3,No
236,CUST_0237,Female,66,28,No,DSL,One year,73.74,2064.72,No
237,CUST_0238,Female,52,3,No,Fiber optic,Month-to-month,60.55,181.64999999999998,Yes
238,CUST_0239,Male,78,12,No,DSL,Month-to-month,34.34,412.08000000000004,Yes
239,CUST_0240,Female,69,38,Yes,None,Two years,35.44,1346.7199999999998,No
240,CUST_0241,Female,32,14,Yes,Fiber optic,One year,60.65,849.1,No
241,CUST_0242,Male,64,28,No,DSL,Two years,95.24,2666.72,No
242,CUST_0243,Female,80,28,Yes,Fiber optic,Month-to-month,109.59,3068.52,Yes
243,CUST_0244,Male,73,31,Yes,None,One year,26.58,823.9799999999999,No
244,CUST_0245,Male,39,1,No,None,One year,58.1,58.1,No
245,CUST_0246,Female,31,46,Yes,None,Month-to-month,28.23,1298.58,Yes
246,CUST_0247,Male,43,21,No,Fiber optic,One year,19.69,413.49,No
247,CUST_0248,Male,45,26,No,Fiber optic,One year,85.5,2223.0,No
248,CUST_0249,Male,40,66,Yes,DSL,Two years,79.45,5243.7,No
249,CUST_0250,Male,31,55,No,None,Month-to-month,34.63,1904.65,Yes
250,CUST_0251,Female,41,20,No,Fiber optic,Month-to-month,41.85,837.0,No
